Participant,block_order,trial,A,B,DA,DB,R,index
3075,4,1,-3,-30,0,56,0,1
3075,4,2,-6,-30,0,56,1,1
3075,4,3,-9,-30,0,56,0,1
3075,4,4,-12,-30,0,56,1,1
3075,4,5,-15,-30,0,56,0,1
3075,4,6,-18,-30,0,56,1,1
3075,4,7,-21,-30,0,56,0,1
3075,4,8,-24,-30,0,56,0,1
3075,4,9,-27,-30,0,56,1,1
3075,4,10,-30,-30,0,56,1,1
3075,4,11,-3,-30,0,101,0,2
3075,4,12,-6,-30,0,101,0,2
3075,4,13,-9,-30,0,101,0,2
3075,4,14,-12,-30,0,101,0,2
3075,4,15,-15,-30,0,101,0,2
3075,4,16,-18,-30,0,101,0,2
3075,4,17,-21,-30,0,101,0,2
3075,4,18,-24,-30,0,101,1,2
3075,4,19,-27,-30,0,101,1,2
3075,4,20,-30,-30,0,101,1,2
3075,4,21,-3,-30,0,29,0,3
3075,4,22,-6,-30,0,29,0,3
3075,4,23,-9,-30,0,29,0,3
3075,4,24,-12,-30,0,29,0,3
3075,4,25,-15,-30,0,29,0,3
3075,4,26,-18,-30,0,29,0,3
3075,4,27,-21,-30,0,29,0,3
3075,4,28,-24,-30,0,29,0,3
3075,4,29,-27,-30,0,29,0,3
3075,4,30,-30,-30,0,29,1,3
3075,4,31,-3,-30,0,7,0,4
3075,4,32,-6,-30,0,7,0,4
3075,4,33,-9,-30,0,7,0,4
3075,4,34,-12,-30,0,7,0,4
3075,4,35,-15,-30,0,7,0,4
3075,4,36,-18,-30,0,7,0,4
3075,4,37,-21,-30,0,7,0,4
3075,4,38,-24,-30,0,7,0,4
3075,4,39,-27,-30,0,7,0,4
3075,4,40,-30,-30,0,7,1,4
3075,4,41,-3,-30,0,15,1,5
3075,4,42,-6,-30,0,15,0,5
3075,4,43,-9,-30,0,15,0,5
3075,4,44,-12,-30,0,15,0,5
3075,4,45,-15,-30,0,15,0,5
3075,4,46,-18,-30,0,15,0,5
3075,4,47,-21,-30,0,15,0,5
3075,4,48,-24,-30,0,15,0,5
3075,4,49,-27,-30,0,15,0,5
3075,4,50,-30,-30,0,15,1,5
